,Player,Nation,Pos,Squad,League,Value,Value_num,Age,Launched.Cmp%,Passes.Launch%,Passes.AvgLen,Goal Kicks.Launch%,Goal Kicks.AvgLen,Total.Att,Total.Cmp%,Total.Dist,Total.PrgDist,Short.Att,Short.Cmp%,Medium.Att,Medium.Cmp%,Advance_Cluster
82,Pierluigi Gollini,it ITA,GK,Atalanta,Italy, £11.70m,11700000.0,24.0,44.5,37.1,37.0,67.1,52.5,30.3,74.9,739.3,435.7,0.06,100.0,9.72,99.0,2
83,Predrag Rajković,rs SRB,GK,Reims,France, £4.95m,4950000.0,23.0,36.3,35.6,36.4,53.5,45.0,37.0,73.7,797.3,410.7,0.11,100.0,14.2,99.7,0
84,Rafał Gikiewicz,pl POL,GK,Union Berlin,Germany, £1.08m,1080000.0,31.0,46.3,61.5,47.4,82.2,60.7,41.1,63.2,1092.9,818.7,0.06,50.0,7.64,97.2,1
85,Régis Gurtner,fr FRA,GK,Amiens,France, £900Th.,900000.0,32.0,44.3,55.7,43.6,80.7,55.4,29.3,63.3,719.0,499.1,0.0,,6.0,98.8,1
86,Robin Olsen,se SWE,GK,Cagliari,Italy, £5.85m,5850000.0,29.0,37.8,55.4,45.1,56.0,47.3,29.6,64.8,659.6,429.1,0.24,100.0,7.46,100.0,2
87,Robin Zentner,de GER,GK,Mainz 05,Germany, £2.88m,2880000.0,24.0,33.0,47.4,40.8,62.8,51.6,37.2,64.0,760.9,511.3,0.19,100.0,12.0,99.6,2
88,Roman Bürki,ch SUI,GK,Dortmund,Germany, £9.90m,9900000.0,28.0,36.3,29.8,32.8,33.8,34.3,34.0,79.4,698.3,370.7,0.23,100.0,15.6,99.6,0
89,Rubén,es ESP,GK,Osasuna,Spain, £495Th.,495000.0,35.0,37.1,73.6,52.7,86.0,61.9,29.8,51.2,675.5,511.6,0.0,,3.52,100.0,1
90,Rubén Blanco,es ESP,GK,Celta Vigo,Spain, £7.20m,7200000.0,24.0,37.2,53.9,42.5,67.3,52.9,30.1,62.1,644.8,421.2,0.09,100.0,8.88,97.9,2
91,Rui Patrício,pt POR,GK,Wolves,England,£14.40m,14400000.0,31.0,48.4,59.7,44.6,84.0,55.7,22.7,63.8,593.6,405.3,0.05,100.0,3.95,98.0,2
92,Rui Silva,pt POR,GK,Granada,Spain, £3.60m,3600000.0,25.0,38.8,66.6,49.2,82.1,60.4,36.5,56.0,837.1,608.9,0.06,100.0,7.4,98.8,2
